college_code,college_name,college_type,course,category,last_rank,year,allotment_round
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,SM,11530,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,EZ,17344,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,MU,14099,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,LA,46014,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,DV,48210,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,VK,15918,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,BH,15676,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,BX,41092,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,KN,47064,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,SC,62150,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,EW,36579,2025,1
KKE,"Government Engineering College, Kozhikkode",G,Applied Electronics & Instrumentation,FW,10197,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,SM,1885,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,EZ,2889,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,MU,2315,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,LA,3601,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,DV,12340,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,VK,2108,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,BH,2070,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,BX,7721,2025,1
TVE,"College of Engineering, Thiruvananthapuram",G,Applied Electronics & Instrumentation,KN,2637,2025,1
